listing_id,host_id,superhost,response_time,response_rate,number_of_reviews,review_scores_rating,host_about,host_verifications
2018929,999770,f,within an hour,100%,1,100,"Responsible, mid-late thirties, American writer and Academic. ","['email', 'phone', 'facebook', 'reviews', 'kba']"
11937692,9995741,f,within a day,100%,10,96,"Hi! I'm a designer living in New York. Love traveling, meeting new people, watching movies, riding my bike and hanging out in my neighborhood. ","['email', 'phone', 'reviews', 'jumio']"
1923153,9965028,f,within a few hours,100%,18,92,"Hi! I am an East Village based Designer and Milliner. I love enjoying my fantastic neighborhood and all the unique restaurants it has to offer. In my free time I love taking the train someplace new, camping, road tripping, and hiking! Please do not hesitate to ask any further questions about my place. Cheers!","['email', 'phone', 'facebook', 'reviews', 'kba']"
4652629,9953720,f,N/A,N/A,1,100,"Live in NYC, work a lot but trying to make more time for travel!","['email', 'phone', 'reviews', 'kba']"
1919647,9951559,f,within an hour,90%,35,81,"Co-Founder of NYC Tech startup, BrandYourself , Originally from Burlington Vermont. Love Startups, entrepreneurship, snowboarding, wakeboarding, kiteboarding, traveling and new experiences. ","['email', 'phone', 'reviews', 'kba']"
13361785,9949656,f,within an hour,100%,3,100,Early 30s author and venture capitalist who loves to travel.,"['email', 'phone', 'reviews', 'jumio', 'kba', 'work_email']"
16407427,9947836,f,within a few hours,95%,5,88,Love to travel and explore the world!,"['email', 'phone', 'reviews', 'kba']"
1925224,9946315,t,within an hour,100%,45,100,"Hello!  I'm originally from Alabama, but have lived in New York for 14 years.I love interior design, traveling, antiquing, good food, knitting, listening to music, and hanging out with my friends and family.  I have a vintage jewelry and clothing pop-up store called Tiny Kingdom.   ","['email', 'phone', 'reviews', 'jumio']"
18194482,9945748,f,within an hour,90%,2,90,Hello!I am friendly / optimistic / fun / hardworking.I love science / technology / engineering / math / good conversation / coffee.,"['email', 'phone', 'reviews']"
3265407,9944244,f,within a day,67%,2,90,"I am an architect and professor.Art, nature and travel remind me of all the beautiful, varied approaches to life.","['email', 'phone', 'reviews', 'kba', 'work_email']"
4216813,9904977,t,within an hour,100%,53,96,"Hi!!!I have lived in New York my whole life; and Williamsburg, Brooklyn the last 12 Years.  It is an amazing part of the city that is constantly growing and changing.  I love to travel and often use AirBnB because I feel like you not only get a lot more for your money but also get a better feel for the city that you are visiting.  Cheers,Matt","['email', 'phone', 'reviews', 'jumio', 'work_email']"
12915481,9880191,f,within a day,50%,2,100,"5 things you can��t live without? Cheese, Game of Thrones,  Bagels and Iced Coffee on Sundays, and a good book to read on the subway!What��s your style of traveling? Laid back, up for anything, and especially interested in the food and art scene! Style of Airbnb hosting? Love, love, love giving restaurant and activity recommendations that is why being accessible to my guests is super important. Anything I can help you with I will.Do you have a life motto? Live and let live.","['email', 'phone', 'facebook', 'reviews', 'kba']"
1901357,9872650,f,within a day,100%,20,96,"I grew up in Florida and I moved to New York City 10 years ago and I have loved every minute of it. Nowhere else can you find the variety of experience like New York.  I love to budget travel for long periods interrupted with brief ""vacations"" of work.I have lived in this apartment for four years, and I don't plan on moving anytime soon!","['email', 'phone', 'reviews', 'kba']"
16659337,9870527,f,within an hour,100%,1,100,I was born by the river in a little tent. ,"['email', 'phone', 'reviews', 'kba']"
1895544,9848845,f,N/A,N/A,7,99,"About me; American/ Israeli/Actress/producer who  love her work as well as her play  enjoy  traveling as well as staying local ...embrace  life with its unexpected twists and turns ,Attracts Changes physically mentally and geographically.As for you my dear guest: The most temporary thing becomes the most permanent habits; clean organize positive individuals are very welcome to share this beautiful space in the heart of town ...its a total of 2 bedroom apt , rooms are private with own bathrooms.....sometimes could be rented as a whole but mainly as a one bedroom +huge  living room  shown in pic  . I'm  currently residing on 72 st so the other room is locked and the apt is private .looking forward to be your host and share my love and experience of this juicy  big apple .I know most of the  hot spots you'll want to visit . location location location is the key element to a good stay after great energy  for a combined  successful trip .","['email', 'phone', 'reviews']"
12145787,984169,f,within a day,81%,6,93,"I am Juliana; I brand and advertise small owner operated businesses via NINJA llc. In addition to that I love working with independent hotels, Bed & Breakfasts in Atlantic City, Manhattan, and soon to be Philadelphia by helping them sell rooms through my favorite travel resource AirBnB.com. I love of heavy work loads, construction sites, auctions, the 'hustle' and great spaces to work on my laptop. When I am not doing those things I enjoy surfing, skateboarding, writing, and working with my hands.Check my wishlist of properties I am looking forward to visiting! Thanks again!!","['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio', 'work_email']"
2897507,9840901,f,within a day,70%,6,90,"I am a designer and artist that works on activist and spiritual empowerment projects.  I'm an explorer, a lifelong learner and very fond of traveling!  Looking for like-minded, kind and compassionate adventurers to host in my magical abode or to swap spaces!  ","['email', 'phone', 'facebook', 'reviews', 'kba']"
15855609,982332,f,within a day,100%,1,100,Copywriting student from Stockholm. Currently living in New York.,"['email', 'phone', 'facebook', 'reviews', 'jumio']"
